REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
1263,92,34,34,1119,71.65558252427185,5,1096,3.5
1263,92,34,34,667,70.0,5,1977,3.75
2626,69,57,31,675,71.65558252427185,5,120,3.0
2626,69,57,49,658,71.65558252427185,5,2016,3.25
2630,69,57,35,1328,71.65558252427185,5,959,3.25
2630,69,57,30,1215,71.65558252427185,5,1885,3.25
841,93,9,10,352,72.0,1,674,3.0
845,93,9,10,352,71.65558252427185,1,632,2.75
1582,93,9,20,74,72.0,5,2077,3.5
1586,93,9,10,1251,71.65558252427185,1,706,3.25
1586,93,9,10,73,72.0,1,6,3.5
2154,94,57,2,441,75.0,1,1265,2.0
2394,95,5,4,479,71.65558252427185,1,1563,3.0
2402,95,5,4,48,71.65558252427185,1,1146,3.25
1101,96,57,3,181,70.0,5,1623,3.0
1101,96,57,13,335,73.0,1,1568,3.5
1105,96,57,35,1171,70.0,5,1551,2.5
1105,96,57,57,527,70.0,5,1573,3.25
1109,96,57,31,904,72.0,5,1571,3.25
1153,96,57,35,1316,70.0,5,1130,2.75
1153,96,57,57,528,72.0,5,1088,3.0
1347,96,57,8,1202,72.0,5,152,3.5
1407,96,57,13,460,70.0,5,1720,2.75
1570,96,57,22,1406,71.65558252427185,5,1457,3.5
1570,96,57,13,428,70.0,5,1055,3.75
1574,96,57,57,1018,72.0,5,1214,3.5
1724,96,57,1,843,71.65558252427185,5,108,4.0
1956,96,57,57,999,70.0,1,1244,3.25
2314,96,57,30,1385,70.0,5,1702,3.75
2354,96,57,37,1081,70.0,5,1709,3.5
2554,96,57,35,1343,70.0,5,287,4.0
2688,96,57,57,294,72.0,5,1102,4.0
2736,97,3,11,127,71.65558252427185,5,65,3.0
2740,97,3,28,55,74.0,5,1968,2.75
2740,97,3,53,516,71.65558252427185,5,803,2.5
1247,98,57,14,433,70.0,5,128,2.5
1247,98,57,35,1006,71.65558252427185,5,1082,2.75
1251,98,57,57,1348,70.0,5,1247,2.75
1251,98,57,3,178,70.0,5,424,3.0
404,99,17,14,466,72.0,19,1836,2.75
1426,100,6,55,1333,70.0,5,1586,2.75
2672,100,6,28,56,70.0,5,182,3.0
2676,100,6,1,829,71.65558252427185,5,2034,3.0
2676,100,6,35,806,72.0,5,494,3.25
2028,101,17,3,164,74.0,1,456,3.0
2238,101,17,57,1150,68.0,5,134,3.5
1900,102,57,1,840,70.0,5,1662,3.25
252,103,13,14,731,75.0,5,557,3.0
486,103,13,14,87,71.65558252427185,5,2049,2.75
1235,104,57,10,1405,70.0,5,820,3.5
2202,104,57,35,1324,72.0,5,1769,3.0
2422,104,57,14,349,72.0,5,1651,3.5
2668,104,57,13,409,69.0,5,501,3.25
672,105,17,2,171,70.0,19,251,3.5
1454,106,56,14,433,70.0,5,705,3.25
1407,107,18,1,830,71.65558252427185,1,86,3.0
1696,108,46,58,857,71.65558252427185,1,1489,2.75
1696,108,46,29,1263,70.0,1,906,3.5
2298,109,22,31,676,71.65558252427185,5,809,2.5
2298,109,22,13,1388,71.0,5,195,3.25
2442,111,56,28,970,74.0,1,1901,3.0
647,110,57,28,749,70.0,1,1110,3.75
647,110,57,57,1348,68.0,1,1109,3.75
1760,112,57,3,1373,70.0,1,838,2.5
1760,112,57,55,1333,70.0,1,1459,2.75
1764,112,57,13,402,75.0,1,1584,3.0
1764,112,57,14,433,71.65558252427185,1,1153,3.25
1259,113,57,35,1006,74.0,3,2011,2.75
1530,114,33,13,1294,71.65558252427185,5,576,3.25
1530,114,33,9,340,68.0,5,97,3.5
919,115,43,35,1006,68.0,5,1602,2.75
919,115,43,28,749,71.65558252427185,5,1969,3.25
1121,115,43,35,1006,70.0,1,934,3.75
1582,115,43,35,787,69.0,5,722,3.75
2700,115,43,57,283,70.0,5,1232,2.75
2134,116,57,13,1388,72.0,5,1761,3.25
2294,117,3,23,582,70.0,5,1225,3.0
1219,118,6,30,1381,70.0,14,672,2.5
2080,119,57,35,1322,70.0,1,1598,2.75
1832,120,6,30,268,71.65558252427185,5,780,3.25
2594,121,57,20,275,70.0,1,1063,3.25
2594,121,57,1,834,70.0,1,774,3.5
2598,121,57,13,425,73.0,1,885,3.25
117,122,47,14,177,71.0,12,585,2.5
117,122,47,19,537,71.65558252427185,12,1916,2.5
117,122,47,2,785,70.0,12,1932,3.0
209,122,47,57,937,71.0,12,1046,3.5
439,122,47,2,1261,75.0,12,1295,3.25
478,122,47,30,1381,71.0,12,604,3.25
478,122,47,28,1123,71.0,12,1754,3.5
1522,123,57,30,1246,75.0,1,837,2.5
377,124,6,30,1066,70.0,14,619,2.75
377,124,6,4,190,70.0,14,1301,3.0
377,124,6,57,937,70.0,14,1667,3.0
2514,125,57,57,287,75.0,1,1086,3.75
2514,125,57,28,139,67.0,1,180,4.0
2534,125,57,20,1352,70.0,1,1437,3.5
2534,125,57,1,831,71.65558252427185,1,759,3.75
2638,125,57,49,659,75.0,1,1460,3.5
2638,125,57,3,1378,75.0,1,913,3.75
2250,126,57,35,1326,71.65558252427185,1,1942,2.75
2226,127,57,35,1322,75.0,5,99,3.75
2306,127,57,13,952,71.65558252427185,5,1712,3.75
2310,127,57,10,544,71.65558252427185,5,252,3.25
2310,127,57,14,221,73.0,5,1414,3.5
2310,127,57,49,643,72.0,5,55,3.5
2310,127,57,4,477,70.0,5,328,4.0
2314,127,57,58,1356,71.65558252427185,5,1472,3.0
666,128,6,35,789,68.0,19,1281,3.75
227,129,42,2,1268,75.0,5,558,3.75
470,129,42,2,1268,71.65558252427185,1,1635,3.75
2630,130,57,13,952,70.0,5,1742,3.5
1486,131,57,14,216,73.0,1,338,3.5
2474,132,6,35,1322,70.0,5,27,3.5
2402,133,48,44,1230,70.0,14,1390,2.25
2606,134,57,35,804,71.65558252427185,5,1133,3.0
2606,134,57,8,1308,70.0,5,1919,3.25
292,135,0,3,891,72.0,19,531,3.25
292,135,0,57,937,71.65558252427185,19,1120,3.75
296,135,0,14,468,71.65558252427185,19,1659,2.75
579,135,0,57,1237,70.0,19,226,3.25
2684,136,57,35,1322,68.0,5,1806,3.25
2688,136,57,36,767,70.0,5,234,2.5
2688,136,57,25,594,70.0,5,1268,2.5
2688,136,57,49,639,75.0,5,237,3.5
196,137,18,28,1144,72.0,5,419,3.0
220,137,18,30,1071,71.65558252427185,5,1004,3.0
220,137,18,57,1072,72.0,5,1018,3.0
341,137,18,35,1055,71.65558252427185,5,309,3.0
451,137,18,57,284,70.0,5,1668,3.5
451,137,18,57,285,70.0,5,450,3.75
470,137,18,19,521,72.0,5,262,3.25
